i,j,value
10,9,0.662129
10,10,0.674808
10,11,0.686697
10,12,0.697703
10,13,0.707724
10,14,0.716658
10,15,0.724398
10,16,0.73084
10,17,0.735892
10,18,0.73947
10,19,0
10,20,0
10,21,0
10,22,0.773173
10,23,0.774097
10,24,0.773926
10,25,0.772799
10,26,0.770857
10,27,0.768238
10,28,0.765073
10,29,0.761479
10,30,0.757564
10,31,0.75342
10,32,0.749127
10,33,0.744754
10,34,0.740353
10,35,0.73597
10,36,0.731637
10,37,0.727379
10,38,0.723211
10,39,0.719141
10,40,0.715168
10,41,0.711286
10,42,0.708086
10,43,0.709926
10,44,0.711923
10,45,0.714045
10,46,0.716257
10,47,0.718524
10,48,0.720807
10,49,0.723068
10,50,0.725272
10,51,0.727381
10,52,0.72936
10,53,0.731177
10,54,0.732803
10,55,0.734211
10,56,0.73538
10,57,0.736292
10,58,0.736935
10,59,0.7373
10,60,0.737384
10,61,0.737188
10,62,0.736717
10,63,0.735979
10,64,0.734988
10,65,0.733755
10,66,0.732297
10,67,0.730628
10,68,0.730738
10,69,0.733867
10,70,0.736718
10,71,0.739312
10,72,0.741662
10,73,0.743776
10,74,0.745652
10,75,0.747285
10,76,0.748658
10,77,0.749752
10,78,0.750534
10,79,0.750969
10,80,0.751013
10,81,0.750616
10,82,0.749721
10,83,0.748269
10,84,0.746196
10,85,0.743439
10,86,0.739931
10,87,0.73561
10,88,0.730418
10,89,0.7243
10,90,0.717209
10,91,0.709104
10,92,0.699953
10,93,0.689731
10,94,0.678419
10,95,0.666009
10,96,0.652494
10,97,0.637877
10,98,0.622162
10,99,0.605358
11,0,0.534663
11,1,0.55191
11,2,0.5689
11,3,0.585601
11,4,0.601978
11,5,0.617988
11,6,0.633584
11,7,0.64871
11,8,0.663303
11,9,0.67729
11,10,0.69059
11,11,0.703111
11,12,0.714749
11,13,0.725392
11,14,0.73492
11,15,0.743209
11,16,0.750137
11,17,0.755587
11,18,0.759458
11,19,0
11,20,0
11,21,0
11,22,0.792943
11,23,0.793342
11,24,0.792598
11,25,0.790873
11,26,0.788328
11,27,0.785118
11,28,0.78139
11,29,0.777272
11,30,0.772879
11,31,0.768309
11,32,0.763646
11,33,0.758959
11,34,0.754301
11,35,0.749717
11,36,0.745238
11,37,0.740887
11,38,0.736677
11,39,0.732614
11,40,0.728695
11,41,0.724911
11,42,0.723794
11,43,0.725616
11,44,0.727626
11,45,0.729788
11,46,0.732064
11,47,0.734413
11,48,0.736794
11,49,0.739164
11,50,0.741484
11,51,0.743713
11,52,0.745813
11,53,0.747749
11,54,0.749488
11,55,0.751003
11,56,0.752269
11,57,0.75327
11,58,0.75399
11,59,0.754424
11,60,0.754567
11,61,0.754425
11,62,0.754003
11,63,0.753315
11,64,0.752375
11,65,0.751201
11,66,0.749813
11,67,0.748231
11,68,0.747067
11,69,0.750052
11,70,0.752792
11,71,0.755309
11,72,0.757617
11,73,0.759728
11,74,0.76164
11,75,0.763348
11,76,0.764837
11,77,0.766082
11,78,0.767053
11,79,0.76771
11,80,0.768005
11,81,0.767882
11,82,0.76728
11,83,0.766132
11,84,0.764369
11,85,0.761917
11,86,0.758704
11,87,0.754661
11,88,0.749723
11,89,0.743829
11,90,0.736928
11,91,0.728978
11,92,0.719944
11,93,0.709803
11,94,0.698538
11,95,0.686142
11,96,0.672613
11,97,0.657956
11,98,0.64218
11,99,0.625297
12,0,0.544655
12,1,0.562295
12,2,0.579704
12,3,0.596853
12,4,0.613706
12,5,0.630224
12,6,0.646359
12,7,0.662056
12,8,0.677252
12,9,0.691873
12,10,0.705831
12,11,0.71903
12,12,0.731356
12,13,0.742685
12,14,0.75288
12,15,0.761793
12,16,0.769278
12,17,0.775191
12,18,0.779406
12,19,0.781825
12,20,0
12,21,0
12,22,0.81217
12,23,0.811993
12,24,0.81062
12,25,0.80824
12,26,0.80504
12,27,0.801195
12,28,0.796866
12,29,0.792195
12,30,0.787305
12,31,0.782298
12,32,0.777259
12,33,0.772256
12,34,0.767346
12,35,0.762568
12,36,0.757954
12,37,0.753522
12,38,0.749285
12,39,0.745245
12,40,0.741397
12,41,0.737731
12,42,0.738436
12,43,0.740265
12,44,0.742314
12,45,0.74454
12,46,0.746902
12,47,0.749355
12,48,0.751854
12,49,0.754353
12,50,0.756806
12,51,0.759171
12,52,0.761406
12,53,0.763471
12,54,0.765332
12,55,0.766959
12,56,0.768326
12,57,0.769414
12,58,0.770208
12,59,0.770702
12,60,0.770895
12,61,0.770792
12,62,0.770403
12,63,0.769744
12,64,0.768835
12,65,0.767697
12,66,0.766356
12,67,0.764836
12,68,0.763161
12,69,0.765453
12,70,0.768067
12,71,0.770494
12,72,0.772753
12,73,0.774855
12,74,0.776801
12,75,0.778585
12,76,0.780192
12,77,0.781598
12,78,0.782768
12,79,0.783661
12,80,0.784224
12,81,0.784396
12,82,0.78411
12,83,0.783291
12,84,0.781861
12,85,0.779738
12,86,0.776843
12,87,0.773095
12,88,0.768423
12,89,0.762762
12,90,0.756054
12,91,0.748256
12,92,0.739332
12,93,0.729259
12,94,0.718024
12,95,0.705623
12,96,0.692058
12,97,0.677339
12,98,0.661479
12,99,0.644495
13,0,0.553955
13,1,0.571978
13,2,0.589798
13,3,0.607387
13,4,0.624714
13,5,0.641738
13,6,0.658417
13,7,0.674695
13,8,0.690511
13,9,0.70579
13,10,0.720442
13,11,0.734366
13,12,0.74744
13,13,0.759526
13,14,0.770467
13,15,0.780092
13,16,0.788223
13,17,0.794681
13,18,0.799304
13,19,0.801966
13,20,0
13,21,0
13,22,0.830858
13,23,0.830044
13,24,0.827976
13,25,0.824877
13,26,0.820962
13,27,0.816433
13,28,0.811467
13,29,0.806217
13,30,0.800812
13,31,0.795359
13,32,0.789942
13,33,0.78463
13,34,0.779474
13,35,0.774515
13,36,0.769779
13,37,0.765283
13,38,0.761035
13,39,0.757036
13,40,0.753279
13,41,0.750477
13,42,0.752048
13,43,0.753911
13,44,0.756023
13,45,0.758338
13,46,0.76081
13,47,0.76339
13,48,0.766029
13,49,0.768676
13,50,0.771282
13,51,0.773799
13,52,0.776183
13,53,0.77839
13,54,0.780383
13,55,0.782128
13,56,0.783598
13,57,0.784772
13,58,0.785636
13,59,0.786183
13,60,0.786414
13,61,0.786335
13,62,0.785961
13,63,0.785312
13,64,0.78441
13,65,0.783284
13,66,0.781964
13,67,0.78048
13,68,0.778862
13,69,0.780073
13,70,0.782547
13,71,0.784872
13,72,0.787071
13,73,0.789157
13,74,0.791132
13,75,0.792992
13,76,0.794721
13,77,0.796295
13,78,0.797676
13,79,0.79882
13,80,0.799671
13,81,0.80016
13,82,0.800215
13,83,0.799752
13,84,0.798682
13,85,0.796916
13,86,0.79436
13,87,0.790928
13,88,0.786538
13,89,0.781116
13,90,0.774603
13,91,0.766951
13,92,0.758125
13,93,0.748104
13,94,0.736878
13,95,0.724449
13,96,0.710823
13,97,0.696016
13,98,0.680047
13,99,0.662937
14,0,0.562519
14,1,0.58091
14,2,0.599127
14,3,0.617145
14,4,0.634934
14,5,0.652459
14,6,0.669678
14,7,0.686541
14,8,0.702987
14,9,0.718943
14,10,0.73432
14,11,0.749012
14,12,0.762893
14,13,0.77581
14,14,0.787588
14,15,0.798027
14,16,0.806912
14,17,0.814017
14,18,0.819135
14,19,0.822093
14,20,0
14,21,0
14,22,0.849009
14,23,0.847482
14,24,0.844638
14,25,0.840744
14,26,0.836051
14,27,0.830787
14,28,0.825147
14,29,0.819295
14,30,0.813364
14,31,0.807462
14,32,0.801672
14,33,0.796059
14,34,0.790673
14,35,0.785548
14,36,0.780708
14,37,0.776166
14,38,0.771929
14,39,0.767992
14,40,0.764346
14,41,0.763064
14,42,0.764664
14,43,0.766588
14,44,0.76879
14,45,0.77122
14,46,0.773827
14,47,0.776557
14,48,0.779358
14,49,0.782174
14,50,0.784952
14,51,0.78764
14,52,0.790188
14,53,0.792551
14,54,0.794686
14,55,0.796557
14,56,0.798133
14,57,0.799394
14,58,0.800323
14,59,0.800915
14,60,0.80117
14,61,0.801101
14,62,0.800722
14,63,0.800059
14,64,0.799141
14,65,0.798
14,66,0.796673
14,67,0.795197
14,68,0.793607
14,69,0.793919
14,70,0.796235
14,71,0.798444
14,72,0.800572
14,73,0.802633
14,74,0.804633
14,75,0.806568
14,76,0.808422
14,77,0.810169
14,78,0.811773
